2023/06/12 21:25:59 VMs 1, executed 70289, corpus cover 37450, corpus signal 50810, max signal 54806, crashes 0, repro 0
2023/06/12 21:26:09 VMs 1, executed 70707, corpus cover 37549, corpus signal 50958, max signal 54869, crashes 0, repro 0
2023/06/12 21:26:19 VMs 1, executed 70859, corpus cover 37593, corpus signal 51021, max signal 54943, crashes 0, repro 0
2023/06/12 21:26:29 VMs 1, executed 70859, corpus cover 37605, corpus signal 51040, max signal 54943, crashes 0, repro 0
2023/06/12 21:26:39 VMs 1, executed 71156, corpus cover 37639, corpus signal 51096, max signal 55016, crashes 0, repro 0
2023/06/12 21:26:49 VMs 1, executed 71854, corpus cover 37709, corpus signal 51212, max signal 55071, crashes 0, repro 0
2023/06/12 21:26:59 VMs 1, executed 72459, corpus cover 37752, corpus signal 51300, max signal 55151, crashes 0, repro 0
2023/06/12 21:27:09 VMs 1, executed 72829, corpus cover 37752, corpus signal 51300, max signal 55214, crashes 0, repro 0
2023/06/12 21:27:19 VMs 1, executed 73258, corpus cover 37767, corpus signal 51333, max signal 55252, crashes 0, repro 0
2023/06/12 21:27:29 VMs 1, executed 73258, corpus cover 37924, corpus signal 51541, max signal 55252, crashes 0, repro 0
2023/06/12 21:27:39 VMs 1, executed 73737, corpus cover 37946, corpus signal 51579, max signal 55509, crashes 0, repro 0
2023/06/12 21:27:49 VMs 1, executed 74272, corpus cover 37994, corpus signal 51652, max signal 55541, crashes 0, repro 0
2023/06/12 21:27:59 VMs 1, executed 74744, corpus cover 37994, corpus signal 51653, max signal 55670, crashes 0, repro 0
2023/06/12 21:28:09 VMs 1, executed 75115, corpus cover 37999, corpus signal 51662, max signal 55746, crashes 0, repro 0
2023/06/12 21:28:19 VMs 1, executed 75250, corpus cover 38054, corpus signal 51732, max signal 55749, crashes 0, repro 0
2023/06/12 21:28:29 VMs 1, executed 75250, corpus cover 38061, corpus signal 51748, max signal 55749, crashes 0, repro 0
2023/06/12 21:28:39 VMs 1, executed 75508, corpus cover 38115, corpus signal 51816, max signal 55754, crashes 0, repro 0
2023/06/12 21:28:49 VMs 1, executed 75925, corpus cover 38141, corpus signal 51855, max signal 55779, crashes 0, repro 0
2023/06/12 21:28:59 VMs 1, executed 76600, corpus cover 38160, corpus signal 51885, max signal 55877, crashes 0, repro 0
2023/06/12 21:29:09 VMs 1, executed 77037, corpus cover 38209, corpus signal 51964, max signal 55917, crashes 0, repro 0
2023/06/12 21:29:19 VMs 1, executed 77200, corpus cover 38218, corpus signal 51984, max signal 55945, crashes 0, repro 0
2023/06/12 21:29:29 VMs 1, executed 77200, corpus cover 38242, corpus signal 52030, max signal 55945, crashes 0, repro 0
2023/06/12 21:29:39 VMs 1, executed 77431, corpus cover 38254, corpus signal 52044, max signal 55978, crashes 0, repro 0
2023/06/12 21:29:49 VMs 1, executed 77755, corpus cover 38300, corpus signal 52131, max signal 56057, crashes 0, repro 0
2023/06/12 21:29:59 VMs 1, executed 78490, corpus cover 38312, corpus signal 52165, max signal 56103, crashes 0, repro 0
2023/06/12 21:30:09 VMs 1, executed 79070, corpus cover 38365, corpus signal 52261, max signal 56206, crashes 0, repro 0
2023/06/12 21:30:19 VMs 1, executed 79628, corpus cover 38379, corpus signal 52290, max signal 56287, crashes 0, repro 0
2023/06/12 21:30:29 VMs 1, executed 79628, corpus cover 38387, corpus signal 52312, max signal 56287, crashes 0, repro 0
2023/06/12 21:30:39 VMs 1, executed 79915, corpus cover 38407, corpus signal 52381, max signal 56405, crashes 0, repro 0
