2023/03/29 21:03:34 VMs 1, executed 56020, corpus cover 31534, corpus signal 42922, max signal 47997, crashes 0, repro 0
2023/03/29 21:03:44 VMs 1, executed 56137, corpus cover 31678, corpus signal 43155, max signal 48004, crashes 0, repro 0
2023/03/29 21:03:54 VMs 1, executed 56630, corpus cover 31712, corpus signal 43204, max signal 48026, crashes 0, repro 0
2023/03/29 21:04:04 VMs 1, executed 56852, corpus cover 31730, corpus signal 43236, max signal 48042, crashes 0, repro 0
2023/03/29 21:04:14 VMs 1, executed 57086, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 0, repro 0
2023/03/29 21:04:24 VMs 1, executed 57086, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 0, repro 0
2023/03/29 21:04:34 VMs 1, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 0, repro 0
2023/03/29 21:04:38 vm-0: crash: lost connection to test machine
2023/03/29 21:04:38 reproducing crash 'no output/lost connection': 747 programs, 1 VMs, timeouts [15s 6m0s]
2023/03/29 21:04:44 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:04:54 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:05:04 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:05:14 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:05:24 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:05:34 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:05:44 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:05:54 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:06:04 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:06:14 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:06:24 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:06:35 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:06:45 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:06:55 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:07:05 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:07:15 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:07:25 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:07:35 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:07:45 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:07:55 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:08:05 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:08:15 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:08:25 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:08:35 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:08:45 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:08:55 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:09:05 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:09:15 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:09:25 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:09:35 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:09:45 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:09:55 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:10:05 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:10:15 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:10:25 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:10:35 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:10:45 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:10:55 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:11:05 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:11:15 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:11:25 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:11:35 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:11:45 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:11:55 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:12:05 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:12:15 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:12:25 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:12:35 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:12:45 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:12:55 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:13:05 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
2023/03/29 21:13:15 VMs 0, executed 57093, corpus cover 31738, corpus signal 43248, max signal 49216, crashes 1, repro 1
